credit_limit,age,pay_delay_sep,pay_delay_aug,bill_amt_sep,bill_amt_aug,pay_amt_sep,pay_amt_aug,target
30000.0,36,1,-1,0.0,780.0,780.0,0.0,0
280000.0,40,2,0,178220.0,184848.0,10000.0,9000.0,1
260000.0,37,0,0,128602.0,118109.0,3203.0,6015.0,0
200000.0,32,2,0,160106.0,162743.0,7600.0,4000.0,1
80000.0,32,2,0,79237.0,65301.0,3000.0,4005.0,1
200000.0,45,0,0,14027.0,16016.0,5006.0,3024.0,0
20000.0,28,0,0,9278.0,10400.0,1400.0,0.0,0
200000.0,47,-1,-1,42114.0,227075.0,235728.0,10000.0,1
60000.0,41,-1,-1,866.0,29123.0,29687.0,30000.0,0
50000.0,38,0,0,46509.0,47072.0,2000.0,2000.0,0
50000.0,42,0,0,1345.0,1545.0,1000.0,0.0,0
50000.0,41,0,0,50516.0,44187.0,2721.0,1750.0,0
200000.0,43,3,2,2500.0,2500.0,0.0,0.0,1
130000.0,38,2,2,114726.0,107602.0,20.0,4544.0,1
130000.0,41,0,0,131762.0,106130.0,3466.0,2781.0,1
50000.0,32,-1,2,780.0,390.0,0.0,0.0,1
160000.0,33,2,2,146129.0,158066.0,15000.0,4000.0,1
50000.0,32,1,2,48793.0,50194.0,2500.0,0.0,1
10000.0,46,0,0,8866.0,9844.0,1143.0,1218.0,0
200000.0,35,0,0,87750.0,89618.0,3000.0,3000.0,0
360000.0,38,-2,-2,12325.0,14118.0,14123.0,38722.0,0
230000.0,37,-2,-2,1464.0,1742.0,1742.0,3267.0,0
200000.0,34,-1,-1,3253.0,3969.0,4005.0,326.0,0
50000.0,43,0,0,27620.0,28923.0,1767.0,1799.0,1
90000.0,34,0,0,106053.0,101023.0,3547.0,3580.0,0
270000.0,36,-2,-2,11464.0,1879.0,1879.0,6909.0,0
50000.0,41,0,0,49999.0,51043.0,2263.0,2400.0,0
50000.0,39,2,3,17150.0,16582.0,0.0,1000.0,1
20000.0,39,0,0,16621.0,7309.0,1200.0,10000.0,0
50000.0,35,0,0,50500.0,50181.0,2000.0,2200.0,1
390000.0,39,-1,2,7831.0,3844.0,8.0,5806.0,0
50000.0,36,4,3,51689.0,50567.0,3.0,0.0,0
160000.0,38,1,-2,0.0,0.0,0.0,0.0,0
20000.0,36,3,2,17500.0,16926.0,0.0,2921.0,1
230000.0,36,-2,-2,3245.0,1855.0,1864.0,2590.0,0
50000.0,46,0,0,49386.0,49487.0,2000.0,2500.0,0
50000.0,40,0,0,55397.0,55877.0,2000.0,2356.0,0
80000.0,37,0,0,51925.0,51544.0,3018.0,2113.0,0
240000.0,42,-1,-1,795.0,1916.0,1921.0,1534.0,0
90000.0,39,0,0,93757.0,91359.0,4000.0,2625.0,1
260000.0,44,0,0,250416.0,257987.0,11000.0,7100.0,0
50000.0,47,0,0,48017.0,47913.0,2488.0,2800.0,0
350000.0,41,0,0,24297.0,25299.0,1411.0,1441.0,0
20000.0,42,0,0,15717.0,16724.0,1276.0,1603.0,0
110000.0,41,0,0,53497.0,51110.0,2510.0,2509.0,0
80000.0,34,-1,-1,5173.0,10809.0,10826.0,3683.0,0
230000.0,34,1,-2,0.0,0.0,0.0,33.0,1
370000.0,39,0,0,377259.0,310284.0,15198.0,14177.0,0
100000.0,38,-1,-1,7798.0,864.0,864.0,2438.0,1
490000.0,35,2,2,427020.0,370428.0,0.0,13932.0,1
50000.0,42,2,2,22591.0,21523.0,0.0,3701.0,0
200000.0,41,-2,-2,20950.0,182.0,182.0,3165.0,0
70000.0,37,2,2,60514.0,61923.0,3000.0,2400.0,1
210000.0,38,-1,-1,326.0,0.0,0.0,2684.0,0
50000.0,33,0,0,47834.0,47821.0,1866.0,2007.0,0
50000.0,34,0,0,49454.0,49157.0,1792.0,2208.0,0
100000.0,34,0,0,18185.0,24932.0,7100.0,0.0,1
160000.0,38,4,3,99340.0,96860.0,0.0,5500.0,1
30000.0,32,-2,-2,5066.0,6367.0,6367.0,2115.0,0
220000.0,34,0,0,170352.0,182711.0,15206.0,6000.0,1
150000.0,29,-1,-1,820.0,3191.0,3431.0,0.0,0
